201642259349200424_public.xml,148942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130136,196310,38314,870
201642249349302379_public.xml,2165484,18,18,215,10,0,208314,199183,1770572,1820910,61,-1813,44839,145335,2023786,2163615,0,0,1210370,1167334,0,0,1065435,1087555,2275805,2254889,3269243,3189769,3049245,3061045,219998,128724,,
201612379349300301_public.xml,311844,9,9,2,40,0,90687,136313,103120,168412,49,29,10946,4370,204802,309124,0,0,15470,16701,0,2923,201992,264473,217462,281174,938367,961660,47186,42529,891181,919131,21305,
201612379349300716_public.xml,1743867,6,6,40,6,51833,3471,3644,,0,2,2,65486,103665,68959,107311,0,0,55281,59537,0,0,63364,32417,118645,91954,55385,65636,51419,46313,3966,19323,2324,
201642289349203299_public.xml,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153329,11487,,
201642219349301764_public.xml,917852,6,6,54,50,0,825322,900574,,0,16,5,19518,17273,844856,917852,0,0,876082,826282,0,0,114082,108377,990164,934659,-5121,-1597,136342,156673,-141463,-158270,,
201632289349202633_public.xml,176664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10991,21573,16,0
201612539349100616_public.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201642289349202924_public.xml,111912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95432,98462,,77
201612329349100501_public.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201642509349100359_public.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201612439349300006_public.xml,55543,9,9,0,,0,,4833,57900,50710,,0,1492,0,59392,55543,0,0,,0,0,0,102048,87541,102048,87541,736891,704893,212920,212920,523971,491973,,
201632289349200143_public.xml,15430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15943,11359,0,0
201602429349200000_public.xml,47872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29503,35262,,
201632519349300958_public.xml,219812,7,7,6,,0,224628,210356,37294,9456,,0,,0,261922,219812,0,0,155733,159311,0,144,85703,73958,241436,233269,241459,222725,151748,147330,89711,75395,,
201602539349200225_public.xml,66128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27588,20966,,
201602599349100510_public.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201612589349100406_public.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201602599349100630_public.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
